MSOA11CD,MSOA11NM,LAD20CD,LAD20NM,ITL321CD,ITL321NM,ITL221CD,ITL221NM,ITL121CD,ITL121NM,CTY20NM,CCTY20NM,GoogleMob,OSM,OldTU,NewTU
E02001682,Gateshead 001,E08000037,Gateshead,TLC22,Tyneside,TLC2,"Northumberland, and Tyne and Wear",TLC,North East (England),Tyne and Wear,Tyne and Wear,Tyne and Wear,http://download.geofabrik.de/europe/great-britain/england/tyne-and-wear-latest-free.shp.zip,290,tyne-and-wear
E02001683,Gateshead 002,E08000037,Gateshead,TLC22,Tyneside,TLC2,"Northumberland, and Tyne and Wear",TLC,North East (England),Tyne and Wear,Tyne and Wear,Tyne and Wear,http://download.geofabrik.de/europe/great-britain/england/tyne-and-wear-latest-free.shp.zip,290,tyne-and-wear
E02001684,Gateshead 003,E08000037,Gateshead,TLC22,Tyneside,TLC2,"Northumberland, and Tyne and Wear",TLC,North East (England),Tyne and Wear,Tyne and Wear,Tyne and Wear,http://download.geofabrik.de/europe/great-britain/england/tyne-and-wear-latest-free.shp.zip,290,tyne-and-wear
E02001685,Gateshead 004,E08000037,Gateshead,TLC22,Tyneside,TLC2,"Northumberland, and Tyne and Wear",TLC,North East (England),Tyne and Wear,Tyne and Wear,Tyne and Wear,http://download.geofabrik.de/europe/great-britain/england/tyne-and-wear-latest-free.shp.zip,290,tyne-and-wear
E02001686,Gateshead 005,E08000037,Gateshead,TLC22,Tyneside,TLC2,"Northumberland, and Tyne and Wear",TLC,North East (England),Tyne and Wear,Tyne and Wear,Tyne and Wear,http://download.geofabrik.de/europe/great-britain/england/tyne-and-wear-latest-free.shp.zip,290,tyne-and-wear
E02001688,Gateshead 007,E08000037,Gateshead,TLC22,Tyneside,TLC2,"Northumberland, and Tyne and Wear",TLC,North East (England),Tyne and Wear,Tyne and Wear,Tyne and Wear,http://download.geofabrik.de/europe/great-britain/england/tyne-and-wear-latest-free.shp.zip,290,tyne-and-wear
E02001689,Gateshead 008,E08000037,Gateshead,TLC22,Tyneside,TLC2,"Northumberland, and Tyne and Wear",TLC,North East (England),Tyne and Wear,Tyne and Wear,Tyne and Wear,http://download.geofabrik.de/europe/great-britain/england/tyne-and-wear-latest-free.shp.zip,290,tyne-and-wear
E02001690,Gateshead 009,E08000037,Gateshead,TLC22,Tyneside,TLC2,"Northumberland, and Tyne and Wear",TLC,North East (England),Tyne and Wear,Tyne and Wear,Tyne and Wear,http://download.geofabrik.de/europe/great-britain/england/tyne-and-wear-latest-free.shp.zip,290,tyne-and-wear
E02001691,Gateshead 010,E08000037,Gateshead,TLC22,Tyneside,TLC2,"Northumberland, and Tyne and Wear",TLC,North East (England),Tyne and Wear,Tyne and Wear,Tyne and Wear,http://download.geofabrik.de/europe/great-britain/england/tyne-and-wear-latest-free.shp.zip,290,tyne-and-wear
E02001692,Gateshead 011,E08000037,Gateshead,TLC22,Tyneside,TLC2,"Northumberland, and Tyne and Wear",TLC,North East (England),Tyne and Wear,Tyne and Wear,Tyne and Wear,http://download.geofabrik.de/europe/great-britain/england/tyne-and-wear-latest-free.shp.zip,290,tyne-and-wear
E02001693,Gateshead 012,E08000037,Gateshead,TLC22,Tyneside,TLC2,"Northumberland, and Tyne and Wear",TLC,North East (England),Tyne and Wear,Tyne and Wear,Tyne and Wear,http://download.geofabrik.de/europe/great-britain/england/tyne-and-wear-latest-free.shp.zip,290,tyne-and-wear
E02001694,Gateshead 013,E08000037,Gateshead,TLC22,Tyneside,TLC2,"Northumberland, and Tyne and Wear",TLC,North East (England),Tyne and Wear,Tyne and Wear,Tyne and Wear,http://download.geofabrik.de/europe/great-britain/england/tyne-and-wear-latest-free.shp.zip,290,tyne-and-wear
