LSOA11CD,jobs
E01008246,75
E01008247,40
E01008248,1000
E01008249,600
E01008250,100
E01008195,225
E01008197,100
E01008198,225
E01008199,400
E01008200,50
E01008245,500
E01008214,600
E01008215,2000
E01008243,400
E01008244,1750
E01008178,35
E01008180,75
E01008182,30
E01008277,225
E01008280,300
E01008177,800
E01008179,300
E01008181,4000
E01008276,30
E01008279,125
E01008209,7000
E01008210,400
E01008258,300
E01008259,19000
E01008167,350
E01008169,500
E01008170,200
E01008171,400
E01008257,300
E01008262,10000
E01008263,450
E01008264,250
E01008265,75
E01008266,75
E01008251,175
E01008252,175
E01008253,125
E01008254,150
E01008255,225
E01008165,75
E01008201,35
E01008202,100
E01008204,40
E01008212,350
E01008213,35
E01008216,350
E01008228,45
E01008206,25
E01008207,45
E01008208,1500
E01008211,200
E01008283,1500
E01008284,25
E01008286,45
E01008287,75
E01008231,10
E01008240,150
E01008241,350
E01008242,125
E01008281,250
E01008282,15
E01008219,4000
E01008235,100
E01008236,100
E01008237,500
E01008238,300
E01008267,700
E01008269,35
E01008270,50
E01008271,150
E01008275,350
E01008229,200
E01008230,125
E01008232,75
E01008233,45
E01008285,50
E01008256,175
E01008260,900
E01008261,75
E01008268,125
E01008272,300
E01008273,150
E01008274,40
E01008193,200
E01008194,75
E01008234,400
E01008239,1000
E01008218,250
E01008220,50
E01008221,150
E01008225,250
E01008227,45
E01008184,300
E01008185,35
E01008188,150
E01008278,35
E01008189,75
E01008190,150
E01008191,35
E01008192,75
E01008217,200
E01008183,300
E01008186,150
E01008187,35
E01008196,175
E01008222,25
E01008223,500
E01008224,225
E01008226,6000
E01008172,150
E01008173,450
E01008174,1500
E01008175,1500
E01008176,1250
E01008162,125
E01008164,100
E01008166,7000
E01008168,4000
E01008163,600
E01008203,175
E01008205,250
E01008294,1500
E01008306,250
E01008307,1000
E01008308,2500
E01008311,100
E01008312,40
E01008313,40
E01008309,250
E01008352,500
E01008357,225
E01008358,800
E01033550,125
E01033551,800
E01008336,500
E01008337,200
E01008338,125
E01008339,1000
E01008340,175
E01008341,100
E01008342,75
E01008293,600
E01008456,40
E01008457,700
E01008458,3500
E01008459,150
E01008460,75
E01008351,1250
E01008354,600
E01008418,250
E01008420,350
E01008422,400
E01008424,350
E01008353,350
E01008355,4500
E01008356,2000
E01008378,75
E01008419,1250
E01008421,150
E01008423,500
E01008317,175
E01008319,200
E01008320,200
E01008321,7000
E01008322,9000
E01008323,500
E01008295,1250
E01008374,175
E01008375,500
E01008376,150
E01008377,125
E01008379,75
E01008380,600
E01008296,25
E01008297,75
E01008298,600
E01008299,200
E01008314,450
E01008315,1500
E01008316,125
E01008318,40
E01008363,350
E01008365,125
E01008366,200
E01008369,500
E01008371,225
E01008372,700
E01008373,150
E01008400,250
E01008401,150
E01008402,700
E01008403,150
E01008404,1250
E01008405,450
E01008443,25
E01008324,225
E01008325,700
E01008326,300
E01008327,0
E01008328,45
E01008329,30
E01008330,40
E01008300,125
E01008450,300
E01008451,200
E01008452,150
E01008367,1000
E01008368,250
E01008370,2500
E01008409,200
E01008411,100
E01008303,2250
E01008359,125
E01008360,400
E01008361,225
E01008362,300
E01008364,500
E01008343,200
E01008344,200
E01008345,100
E01008346,450
E01008347,300
E01008348,250
E01008349,200
E01008350,700
E01008430,40
E01008431,50
E01008433,600
E01008434,100
E01008435,45
E01008436,350
E01008381,175
E01008382,100
E01008383,25
E01008384,100
E01008385,400
E01008386,25
E01008387,4500
E01008396,75
E01008398,225
E01008449,1000
E01008453,300
E01008455,225
E01033556,350
E01008406,2000
E01008407,3000
E01008410,350
E01008412,50
E01008413,100
E01033548,3500
E01033553,4500
E01008394,500
E01008395,8000
E01008397,23000
E01008399,125
E01008439,500
E01033543,20000
E01033545,12000
E01033554,2000
E01008415,450
E01008416,175
E01033547,1250
E01008301,900
E01008302,1000
E01008304,1250
E01008305,1000
E01008391,30
E01008392,3000
E01008432,225
E01008288,300
E01008289,450
E01008290,600
E01008291,800
E01008292,100
E01008388,150
E01008389,50
E01008426,25
E01008429,400
E01008331,350
E01008332,300
E01008333,900
E01008334,700
E01008335,50
E01008437,5000
E01008438,2250
E01008390,75
E01008425,2000
E01008427,40
E01008428,150
E01008441,250
E01008442,20
E01008444,225
E01008445,400
E01008446,15
E01008447,175
E01008448,75
E01008547,200
E01008548,75
E01008549,250
E01008551,150
E01008478,100
E01008480,250
E01008504,200
E01008578,100
E01008583,600
E01008520,125
E01008523,175
E01008546,225
E01008550,200
E01008577,600
E01008579,125
E01008580,75
E01008581,35
E01008582,500
E01008517,350
E01008519,35
E01008521,250
E01008522,125
E01008584,800
E01008585,900
E01008587,200
E01008588,450
E01008589,200
E01008518,350
E01008564,150
E01008565,800
E01008567,400
E01008475,35
E01008476,1000
E01008477,1500
E01008479,700
E01008552,250
E01008553,350
E01008554,100
E01008555,75
E01008586,600
E01008495,45
E01008496,300
E01008497,125
E01008498,75
E01008568,250
E01008569,400
E01008570,3000
E01032647,300
E01032648,125
E01008500,225
E01008505,400
E01008506,5
E01008507,75
E01008493,225
E01008494,75
E01008556,3000
E01008557,450
E01008470,900
E01008499,300
E01008502,100
E01008516,75
E01008488,12000
E01008489,15
E01008490,40
E01008491,3500
E01008558,300
E01008560,700
E01008561,1000
E01008562,250
E01008525,300
E01008527,125
E01008559,250
E01008563,175
E01008469,450
E01008472,50
E01008473,600
E01008501,1250
E01008503,1500
E01008471,400
E01008474,400
E01008513,4500
E01008514,6000
E01032649,125
E01032650,175
E01008486,150
E01008487,250
E01008526,125
E01008530,50
E01008461,400
E01008466,40
E01008467,75
E01008468,1000
E01008483,100
E01008524,3500
E01008528,175
E01008529,125
E01008481,3500
E01008482,200
E01008484,300
E01008485,50
E01008492,5
E01008462,225
E01008463,100
E01008464,250
E01008465,125
E01008531,40
E01008532,200
E01008534,30
E01008538,30
E01008508,100
E01008509,45
E01008510,175
E01008512,400
E01008539,800
E01008540,400
E01008541,900
E01008544,225
E01008545,400
E01008511,200
E01008542,150
E01008543,1500
E01008571,1250
E01008572,900
E01008573,450
E01008574,400
E01008576,35
E01008533,15
E01008535,125
E01008536,400
E01008537,225
E01008575,700
E01008595,175
E01008596,1250
E01008597,1500
E01008598,150
E01008599,350
E01008664,400
E01008665,75
E01008666,900
E01008667,4500
E01008668,450
E01008673,600
E01008675,25
E01008676,50
E01008677,75
E01008678,175
E01008647,75
E01008648,100
E01008649,30
E01008651,200
E01008679,450
E01008680,200
E01008682,30
E01008683,300
E01008635,300
E01008650,250
E01008674,150
E01008681,250
E01008600,2000
E01008604,3000
E01008660,200
E01008661,150
E01008633,15
E01008634,400
E01008636,175
E01008637,75
E01008639,1000
E01008652,50
E01008653,200
E01008654,75
E01008655,350
E01008657,40
E01008638,100
E01008640,500
E01008641,1000
E01008642,600
E01008590,450
E01008591,225
E01008592,3000
E01008594,200
E01008601,2000
E01008669,125
E01008671,2000
E01008672,1250
E01008622,75
E01008625,175
E01033074,100
E01008602,75
E01008603,300
E01008608,15
E01008670,75
E01008643,400
E01008644,30
E01008645,500
E01008646,350
E01008656,250
E01008658,30
E01008593,50
E01008605,50
E01008606,30
E01008607,100
E01008609,125
E01008631,75
E01008632,30
E01008659,75
E01008662,75
E01008663,350
E01008624,75
E01008684,75
E01008685,125
E01008686,25
E01008687,350
E01008688,200
E01008689,125
E01008690,50
E01008691,200
E01008692,30
E01008627,25
E01008628,45
E01008629,2500
E01008630,75
E01008610,300
E01008611,600
E01008612,100
E01008613,1000
E01008616,225
E01008618,100
E01008619,350
E01008621,100
E01008614,100
E01008615,2500
E01008617,350
E01008620,175
E01008713,225
E01008722,250
E01008724,45
E01008726,450
E01008723,500
E01008725,100
E01008727,100
E01008728,45
E01008792,350
E01008698,150
E01008837,50
E01008838,100
E01008839,100
E01008840,100
E01008841,175
E01008712,125
E01008817,50
E01008819,200
E01008821,225
E01008822,10
E01008842,100
E01008708,45
E01008709,200
E01008711,1500
E01008820,7000
E01033075,1000
E01008786,75
E01008787,175
E01008788,250
E01008789,1000
E01008790,125
E01008791,1750
E01008855,13000
E01008856,150
E01008876,500
E01008877,125
E01008693,2000
E01008694,125
E01008695,1750
E01008696,125
E01008697,175
E01008699,50
E01008853,2000
E01008854,225
E01008857,15
E01008858,300
E01008859,600
E01008860,125
E01008878,45
E01008873,1500
E01008874,50
E01008875,1500
E01008879,100
E01008880,150
E01008701,500
E01008704,6000
E01008706,100
E01008707,100
E01008756,25
E01008762,1500
E01008812,45
E01033076,0
E01008700,1000
E01008703,8000
E01008705,2250
E01008831,1000
E01008834,500
E01008810,900
E01008811,100
E01008813,225
E01008814,500
E01008757,300
E01008758,100
E01008759,100
E01008761,200
E01008702,450
E01008735,350
E01008736,800
E01008737,300
E01008738,75
E01008836,1250
E01008845,350
E01008846,125
E01008847,10
E01008850,6000
E01008851,125
E01008760,500
E01008830,150
E01008832,150
E01008833,175
E01008843,200
E01008844,150
E01008848,4000
E01008849,75
E01008852,35
E01008867,50
E01008868,225
E01008869,100
E01008870,75
E01008871,50
E01008872,800
E01008729,10
E01008730,800
E01008731,225
E01008732,225
E01008733,75
E01008734,50
E01008740,800
E01008781,350
E01008782,100
E01008783,125
E01008784,125
E01008785,35
E01008835,600
E01008823,100
E01008824,100
E01008825,250
E01008826,150
E01008827,225
E01008828,45
E01008829,450
E01008739,75
E01008741,450
E01008779,1000
E01008780,1500
E01008799,125
E01008861,200
E01008862,50
E01008863,125
E01008864,700
E01008865,1000
E01008866,350
E01008773,175
E01008776,75
E01008777,75
E01008778,50
E01008809,500
E01008803,125
