"","X","Y","FID","LSOA21CD","GlobalID"
"1",426478.8016,562718.9835,27562,"E01008162","033c1923-81f8-4f20-aebe-ac6e6efdc14e"
"2",435886.7954,571925.0655,27563,"E01008588","c7c21fb7-3e4d-4775-a3c8-cb8d63c6b919"
"3",432353.7272,567285.274,27595,"E01008510","c50baeee-f52b-46e8-99f1-3682f514d706"
"4",438443.5253,556669.0493,27602,"E01008707","0c82e47f-84c1-4f17-9869-48f45b6b1fe9"
"5",415965.8908,558176.992799999,27617,"E01008184","a97fd929-955d-4e81-8794-88a021b80ca9"
"6",420603.1446,560109.314300001,27624,"E01008269","0e1f0962-7928-4975-b5a5-ef600d998553"
"7",436538.1055,569291.613299999,27635,"E01008558","c7681a7a-60f5-4ad0-9d6f-08c0c15030b3"
"8",426870.7404,560306.9778,27662,"E01008219","255b6122-7dec-4bda-9ed0-6e5c3da62391"
"9",433474.1297,562462.721899999,27690,"E01008628","bc4f1e63-2571-4e16-b875-f94be1967158"
"10",435188.1734,567273.0825,27697,"E01008539","3aeec106-3dbd-4f46-b764-058a931bdabb"
"11",428133.8603,560338.1459,27700,"E01008233","169b0f97-3a3f-4527-8fb8-e3fc08bf86d7"
"12",424034.9094,573747.428200001,27712,"E01008582","d2a4f08c-c268-49f3-aabf-24e96b5b0435"
"13",427183.4143,571466.993799999,27739,"E01008477","e1c0fd80-a9dd-42af-ad9e-6444a2af58dc"
"14",438604.9134,565565.0548,27766,"E01008651","aaa2bf25-d5df-42f9-ba34-3f5be59a4b36"
"15",430544.4857,566550.146600001,27786,"E01008572","2b08be43-91f6-4642-a4d7-0b59191cba4d"
"16",436433.6898,567697.515000001,27791,"E01008599","637c6841-2df0-4fd4-9c23-7925396cb782"
"17",426300.8035,560012.996300001,27804,"E01008235","7ebee575-eba5-459d-975e-b1a0a88c79f3"
"18",429131.7737,569975.341600001,27809,"E01008503","3a097f3c-bb3d-4113-8289-22098675b1ea"
"19",419381.829,567229.048900001,27838,"E01008441","b700cce3-7e58-4062-a186-b6b0590c33a5"
"20",422766.2563,564151.9803,27839,"E01008333","19fb2621-7fe2-465a-a8a7-aeaac6512e34"
"21",421943.1723,564579.0328,27847,"E01008334","3db4eeaa-179d-45dd-8e57-ddcc4861d0b0"
"22",426614.2204,570780.077099999,27868,"E01008516","b4a87b2a-90bc-4012-8f96-94fb80b39d8e"
"23",428894.3495,560074.419500001,27876,"E01008285","b34b85f7-4348-4aa6-8205-034ffb45c8e0"
"24",424846.0886,561513.810000001,27891,"E01008254","9f8c0660-4dc6-41ff-838d-6f56327eee53"
"25",429765.4756,566062.507099999,27906,"E01008575","104ed10e-7eda-41e8-ad90-3a7749db108f"
"26",415107.8159,558584.084100001,27917,"E01008183","9880d3d7-e3a3-4a2d-8339-302b6b6bcc7b"
"27",426215.6362,573552.9201,27920,"E01008578","b9e85c4c-4657-4178-ab18-5b78633e2426"
"28",425515.2076,565028.750800001,27921,"E01008407","d6e0c273-2974-418c-8226-f48a01988cae"
"29",427830.2743,562107.380999999,27923,"E01008215","c1ac1165-67c4-439b-995f-42eab882c28d"
"30",438436.1434,559276.359999999,27930,"E01008712","680e76f7-5d6c-481d-a10e-3ab18b0a3f9d"
"31",427267.9794,560116.2181,27954,"E01008220","0943b619-64ea-4495-b336-8378be353fa8"
"32",422972.8958,561743.676999999,27955,"E01008211","a1bf9852-0674-4c95-914d-64be9c1f06f2"
"33",416793.9012,565531.821799999,27974,"E01008404","964486d3-f91b-40d4-a223-23df8202866d"
"34",430220.1731,557819.447899999,28002,"E01008860","2b04fc4b-d391-4a9c-951e-decdcd30d319"
"35",422554.2573,567761.884099999,28014,"E01008376","cab81ea9-60ec-46d0-8d96-8edffd045622"
"36",424374.451,561715.6501,28024,"E01008257","9bb6a3f0-a788-4bfa-b006-603917c3da8e"
"37",425627.6355,559649.9619,28028,"E01008234","97967e75-1f7f-4a09-bbd2-e84c13e08303"
"38",422544.7343,561634.282,28058,"E01008208","09a9febd-38e6-4234-a3d8-37c60db13725"
"39",419934.9588,565310.957900001,28060,"E01008416","ed6fcecf-e925-467b-a1a7-f8b49463800b"
"40",433085.0254,563527.465700001,28066,"E01008662","4f697ce3-de8c-4a69-9013-2cc76fe40c8c"
"41",435988.9485,553275.9899,28091,"E01008772","3eff62b5-7e19-4e12-a505-94865269ee0d"
"42",430480.0478,556211.771,28103,"E01008849","153effc1-515a-4826-a738-c693b0883896"
"43",431138.537,568909.7257,28104,"E01008467","82c9309e-9310-4b25-b93a-85afc693ba91"
"44",436390.6519,554087.954600001,28111,"E01008824","49662891-dac8-4400-8089-388588c9783a"
"45",424862.9693,564843.6588,28135,"E01008397","8d6c84fb-089e-4b84-930d-8443967d5b0a"
"46",433427.4392,549637.679500001,28143,"E01008749","2e42ad5c-2ffd-4dbd-a540-927c48cfa089"
"47",427009.0431,565416.852,28153,"E01008362","7f937812-c8b7-4e65-95a3-fe107d9b0894"
"48",430731.5495,568348.774800001,28161,"E01008463","756a4871-d096-4814-95d7-44f774230771"
"49",422063.2109,568366.032299999,28166,"E01008339","7b37e175-5152-40d8-ae0d-f4ad62e7f427"
"50",437136.7624,556862.4537,28167,"E01008756","7c26b189-b142-4fe4-b30c-06e92bc9a363"
"51",427714.8582,555930.2972,28169,"E01008174","01d65699-3a41-4466-8871-db32f49c0bc6"
"52",413820.4083,563512.4903,28173,"E01008199","ec9ffe5f-37d7-4abb-b3bd-e0bbc5470f55"
"53",418284.0274,562729.4516,28181,"E01008178","1bd38b04-fe8d-4a59-9566-8ee20bcc64f5"
"54",420451.6554,564969.751,28190,"E01008292","73da78f4-3c91-4e44-9fdb-08c746f95e68"
"55",424195.7797,567886.398600001,28215,"E01008419","7caaf05e-df5d-4a9b-b2e7-1ccb752c358c"
"56",437608.3118,565314.434800001,28235,"E01008674","2064ccbc-61ae-4775-b00d-5dc46441b3cb"
"57",434126.1658,561962.6437,28242,"E01008611","569b1b2c-1660-4b9d-9805-3eb4bdd5ef99"
"58",427515.4936,571967.830600001,28264,"E01008475","fe1b3b78-a452-41c1-8db4-433ff857b533"
"59",440507.3719,556263.3939,28269,"E01008736","aabc040f-fd24-4f87-98f1-6d7b33a2a0fd"
"60",429232.48,562312.225,28279,"E01008244","97bf15e6-7cc0-4f84-9e61-66f88d1e8661"
"61",438932.0012,558477.1801,28291,"E01008709","4a92e7c3-178c-4c67-a4de-67df59ec8029"
"62",434329.4798,573440.394099999,28293,"E01008549","81a16799-bbb5-4852-89bd-c69adfc2b6d1"
"63",434637.7029,571246.0655,28305,"E01008555","df69375f-8095-4b63-81df-ebb5e9a35a0a"
"64",429245.2997,560464.3518,28306,"E01008282","566c5bf7-a652-4961-af6c-642ed08b0389"
"65",421358.7905,565337.6986,28312,"E01008347","60481962-214f-4ae7-a65c-7847ef1d606c"
"66",422496.7699,565313.829299999,28328,"E01008453","f5835e49-003e-4c8e-995b-69f480eb4621"
"67",432286.3581,563026.078500001,28333,"E01008658","15f734ab-99d9-46d9-a363-40d8d25d223f"
"68",432456.0677,564279.1263,28356,"E01008657","9532c90a-07a6-41f0-985f-d378ca9cbb33"
"69",420840.7386,573188.3124,28364,"E01008306","7b0e34eb-951e-4f5f-b8c5-d78db6bccf48"
"70",436160.6556,561322.328500001,28368,"E01008617","13fb6ab8-13f7-4038-b8f6-436646775679"
"71",421322.3615,564565.725400001,28373,"E01008289","7490ae85-d686-4fce-9b43-0975532a4e73"
"72",434077.3952,568725.926100001,28391,"E01008486","0c153f57-af5d-40e0-abbf-fc031b2719d8"
"73",423257.6242,567221.2621,28393,"E01008378","4a66e67d-180d-4dc3-a9a9-41c3903467d0"
"74",413959.4934,559614.773499999,28395,"E01008196","a1cd08ab-0468-4486-ace2-e8b9a3840544"
"75",425387.7384,568155.1559,28396,"E01008424","a7480ab5-b58a-40b5-ae2a-a34c6234fdcd"
"76",418531.0091,566293.278999999,28406,"E01008326","7a7ca170-3367-4647-bd76-cf7c3959930a"
"77",439080.8443,555251.891000001,28408,"E01008783","30c3f8a2-57ad-44d3-a0c9-0fbc4f56ed04"
"78",427503.9976,565935.414999999,28422,"E01008360","78d6eccb-c028-4844-8b32-e28e907f8e8c"
"79",435131.6196,558025.368899999,28442,"E01008696","f1997c69-41d1-478f-bd3e-5314c85ad64d"
"80",425967.1939,561861.092900001,28449,"E01008203","2541656e-e819-4e0d-9690-53e6933c8434"
"81",435077.6746,563098.044500001,28457,"E01008605","0129a937-f9cc-43a2-aa82-70f6c8dd5914"
"82",431061.5172,563707.9836,28465,"E01008646","8c4a72eb-eb7a-4012-a1eb-079d45fac481"
"83",438083.644,552025.5043,28477,"E01008771","0e0a7614-75a7-41d7-8bf7-7e4839bf2298"
"84",423422.432,568536.2656,28482,"E01008353","782cdede-20c8-4038-ab50-1e2160f36657"
"85",429184.7969,567429.1098,28507,"E01008533","b37ec81c-c33a-4507-899d-d62c61158dab"
"86",440439.0237,559393.597899999,28516,"E01008792","f4e91015-737c-432d-a50d-c27d0e9ca00f"
"87",435606.1864,546579.543199999,28522,"E01008745","1ed6a54c-52e9-471b-87d8-048b59402114"
"88",431790.0948,557839.525599999,28543,"E01008859","fdd55b0e-1a54-4219-a514-d31de962d125"
"89",438838.309,553341.544,28548,"E01008804","b48a0878-183b-4dfe-970d-144e9087bef7"
"90",422009.1243,563817.893300001,28549,"E01008291","ceed6d05-b27d-4909-9367-66ae7254de01"
"91",434342.9411,569932.4077,28550,"E01008557","635bae06-4cf2-4b4d-ac22-62658fa183d0"
"92",427591.4376,564453.252699999,28552,"E01008302","c9e058a9-74e8-4e4c-9a08-bafb9033c2ba"
"93",436394.3708,555974.3858,28572,"E01008813","eb295ca2-bcea-4b33-a97b-671584e5b57a"
"94",426670.2156,567429.7872,28584,"E01008322","93a0cd74-774e-4ba5-84f2-42022d55c5c1"
"95",434409.8311,549212.624299999,28620,"E01008717","567ee724-e269-4f2d-bcb6-e37b6072a650"
