fid,geo_code,urban_type
"8",E00042064,suburban
"11",E00175594,urban
"18",E00042291,suburban
"24",E00042196,suburban
"25",E00042117,urban
"26",E00042114,urban
"31",E00042629,suburban
"35",E00042827,urban
"37",E00042455,suburban
"39",E00042765,suburban
"51",E00042851,suburban
"56",E00042406,suburban
"76",E00042673,urban
"79",E00042772,suburban
"83",E00042331,suburban
"88",E00175593,urban
"98",E00175550,urban
"111",E00042869,suburban
"118",E00042102,suburban
"121",E00042285,suburban
"122",E00175580,urban
"123",E00175587,urban
"125",E00175582,suburban
"127",E00175586,suburban
"130",E00175589,suburban
"132",E00042556,suburban
"139",E00042558,suburban
"147",E00042463,suburban
"148",E00042460,suburban
"149",E00042468,urban
"163",E00175603,suburban
"184",E00042380,suburban
"194",E00042651,urban
"203",E00042110,urban
"206",E00042118,urban
"225",E00042371,suburban
"228",E00042296,suburban
"266",E00175597,suburban
"304",E00042711,suburban
"311",E00042622,suburban
"313",E00042620,suburban
"321",E00042903,suburban
"342",E00042538,suburban
"358",E00042636,suburban
"384",E00042826,urban
"386",E00042825,urban
"387",E00042822,urban
"389",E00042820,urban
"397",E00042828,urban
"398",E00042829,urban
"404",E00175578,urban
"410",E00042351,suburban
"414",E00042267,suburban
"418",E00042263,suburban
"426",E00042586,urban
"427",E00175563,urban
"430",E00175564,urban
"431",E00175565,suburban
"439",E00042583,urban
"442",E00042503,suburban
"446",E00042580,urban
"450",E00042509,suburban
"455",E00042458,suburban
"462",E00042760,suburban
"477",E00042601,urban
"495",E00042835,suburban
"497",E00042833,suburban
"521",E00175559,urban
"526",E00042274,suburban
"527",E00042272,suburban
"532",E00175577,suburban
"534",E00175575,urban
"535",E00175579,urban
"537",E00042516,suburban
"539",E00042517,suburban
"568",E00042612,suburban
"572",E00042697,suburban
"580",E00042691,suburban
"582",E00042618,suburban
"585",E00175556,urban
"586",E00175557,urban
"632",E00042439,suburban
"637",E00042745,suburban
"638",E00042742,suburban
"662",E00042814,urban
"682",E00175552,urban
"683",E00175553,urban
"684",E00175551,urban
"685",E00175554,suburban
"686",E00175558,urban
"691",E00042562,suburban
"693",E00042560,suburban
"696",E00042750,suburban
"699",E00042754,suburban
"700",E00042755,suburban
"701",E00042752,suburban
"702",E00042759,suburban
"705",E00042126,urban
"708",E00042123,urban
"724",E00042397,suburban
"749",E00042228,suburban
"774",E00042723,suburban
"776",E00042728,suburban
"781",E00042679,urban
"785",E00042134,urban
"798",E00042047,suburban
"834",E00042644,urban
"835",E00042645,urban
"837",E00042643,urban
"843",E00042926,suburban
"859",E00042101,suburban
"863",E00042109,urban
"869",E00042875,suburban
"879",E00042052,suburban
"882",E00042058,suburban
"909",E00042288,suburban
"914",E00043351,urban
"919",E00043517,suburban
"921",E00043595,suburban
"935",E00043184,suburban
"941",E00043027,suburban
"969",E00044008,suburban
"980",E00043737,suburban
"1035",E00043854,suburban
"1063",E00044707,suburban
"1065",E00044786,suburban
"1114",E00044376,urban
"1120",E00043597,suburban
"1121",E00043516,suburban
"1122",E00043594,suburban
"1133",E00043770,suburban
"1138",E00044791,suburban
"1141",E00043617,suburban
"1155",E00044984,suburban
"1171",E00044419,suburban
"1182",E00042937,suburban
"1185",E00044112,suburban
"1195",E00044195,urban
"1211",E00044767,suburban
"1225",E00170241,suburban
"1227",E00170248,suburban
"1228",E00170249,suburban
"1235",E00170193,suburban
"1261",E00043150,suburban
"1310",E00043483,suburban
"1347",E00044837,urban
"1360",E00044328,suburban
"1405",E00043865,suburban
"1407",E00043047,suburban
