"","Origin","Destination","individuals","home","u-m-l-t","train","bus","taxi","moto","car","passenger","bike","foot","other","dist_km"
"1","E02001682","E02001682",206,0,1,0,17,0,0,84,6,1,97,0,0
"2","E02001682","E02001683",131,0,0,0,18,0,0,55,11,1,46,0,2
"3","E02001682","E02001684",32,0,0,0,6,0,0,24,0,0,2,0,13
"4","E02001682","E02001685",18,0,0,0,3,0,0,12,1,2,0,0,3
"5","E02001682","E02001686",207,0,0,0,39,0,1,140,9,5,13,0,2
"6","E02001682","E02001688",155,0,0,0,22,1,0,115,9,4,3,1,8
"7","E02001682","E02001689",25,0,0,0,6,0,0,12,1,1,5,0,9
"8","E02001682","E02001690",177,0,0,0,75,1,0,80,16,1,4,0,5
"9","E02001682","E02001691",4,0,0,0,0,0,0,4,0,0,0,0,10
"10","E02001682","E02001692",3,0,0,0,1,0,0,2,0,0,0,0,11
"11","E02001682","E02001693",11,0,1,0,3,0,0,7,0,0,0,0,12
"12","E02001682","E02001694",10,0,0,0,3,0,0,7,0,0,0,0,8
"13","E02001682","E02001695",3,0,0,0,1,0,0,1,1,0,0,0,15
"14","E02001682","E02001696",9,0,0,0,0,0,0,5,2,1,1,0,14
"15","E02001682","E02001697",39,0,0,0,2,0,0,30,3,2,2,0,11
"16","E02001682","E02001698",23,0,0,0,7,0,0,14,2,0,0,0,6
"17","E02001682","E02001699",7,0,0,0,0,0,0,5,1,0,1,0,13
"18","E02001682","E02001700",17,0,0,0,4,0,0,12,0,1,0,0,7
"19","E02001682","E02001701",4,0,0,0,1,0,0,1,1,0,1,0,11
"20","E02001682","E02001702",8,0,0,0,2,1,0,5,0,0,0,0,13
"21","E02001682","E02001703",7,0,0,0,1,0,0,5,1,0,0,0,5
"22","E02001682","E02001704",5,0,0,0,1,0,0,4,0,0,0,0,12
"23","E02001682","E02001705",11,0,0,0,1,0,0,10,0,0,0,0,7
"24","E02001682","E02001706",31,0,0,0,7,1,0,21,1,0,1,0,13
"25","E02001682","E02001707",14,0,0,0,0,0,0,13,0,0,1,0,15
"26","E02001682","E02001708",24,0,0,0,2,0,0,21,0,0,1,0,8
"27","E02001682","E02001709",5,0,0,0,1,0,0,3,0,1,0,0,10
"28","E02001682","E02001710",11,0,1,0,0,0,0,9,0,0,1,0,8
"29","E02001682","E02001711",27,0,0,0,3,0,0,23,1,0,0,0,6
"30","E02001682","E02001712",15,0,0,0,0,0,0,15,0,0,0,0,10
"31","E02001682","E02001713",71,0,2,0,7,0,0,54,2,2,4,0,9
"32","E02001682","E02001714",37,0,1,0,5,0,1,28,1,1,0,0,12
"33","E02001682","E02001715",7,0,0,0,0,0,0,6,1,0,0,0,7
"34","E02001682","E02001718",10,0,0,0,0,0,0,9,0,1,0,0,6
"35","E02001682","E02001719",6,0,0,0,0,0,0,6,0,0,0,0,12
"36","E02001682","E02001720",3,0,1,0,0,0,0,1,1,0,0,0,10
"37","E02001682","E02001721",41,0,0,0,0,1,0,35,1,2,2,0,2
"38","E02001682","E02001722",6,0,0,0,1,0,0,4,1,0,0,0,4
"39","E02001682","E02001723",5,0,0,0,0,1,0,3,1,0,0,0,6
"40","E02001682","E02001724",19,0,2,0,1,0,0,12,4,0,0,0,10
"41","E02001682","E02001725",9,0,0,0,2,0,0,5,0,2,0,0,12
"42","E02001682","E02001726",9,0,0,0,1,0,0,8,0,0,0,0,6
"43","E02001682","E02001727",11,0,0,0,2,0,0,9,0,0,0,0,13
"44","E02001682","E02001728",70,0,0,0,8,1,1,56,3,1,0,0,3
"45","E02001682","E02001729",16,0,0,1,2,0,0,12,1,0,0,0,7
"46","E02001682","E02001730",53,0,1,1,13,0,0,30,2,6,0,0,10
"47","E02001682","E02001731",352,0,4,3,127,1,1,180,26,7,3,0,8
"48","E02001682","E02001732",30,0,0,0,0,0,0,26,1,2,1,0,4
"49","E02001682","E02001733",33,0,1,0,2,0,0,23,4,1,2,0,12
"50","E02001682","E02001734",18,0,0,0,3,1,0,14,0,0,0,0,6
"51","E02001682","E02001735",1,0,0,0,0,0,0,1,0,0,0,0,13
"52","E02001682","E02001736",115,0,0,0,15,0,0,81,12,5,1,1,7
"53","E02001682","E02001737",9,0,0,0,0,0,0,7,1,0,1,0,13
"54","E02001682","E02001739",2,0,0,0,0,0,0,2,0,0,0,0,14
