"","Origin","individuals","home","u-m-l-t","train","bus","taxi","moto","car","passenger","bike","foot","other","dist_km"
"1","E02001682",2623,0,27,6,464,10,4,1700,154,54,202,2,1797
"2","E02001683",3043,0,24,13,535,11,13,2005,194,41,204,3,2135
"3","E02001684",2515,0,593,33,345,7,10,1054,142,67,261,3,946
"4","E02001685",2777,0,39,4,614,9,15,1552,215,29,296,4,1368
"5","E02001686",2564,0,18,2,431,6,13,1662,187,26,215,4,1522
"6","E02001688",2894,0,101,12,676,12,17,1393,216,89,373,5,1083
"7","E02001689",2554,0,170,17,543,26,9,931,152,69,635,2,884
"8","E02001690",2769,0,27,10,469,11,8,1655,188,34,363,4,1316
"9","E02001691",3159,0,206,18,786,19,10,1272,225,85,527,11,1028
"10","E02001692",2076,0,178,14,430,22,8,926,157,31,310,0,952
"11","E02001693",1859,0,249,23,343,10,11,826,111,23,262,1,912
"12","E02001694",2605,0,59,5,493,11,13,1550,219,48,204,3,1140
"13","E02001695",2655,0,518,19,178,7,15,1620,141,53,97,7,1077
"14","E02001696",3129,0,444,33,600,13,13,1520,223,57,222,4,1016
"15","E02001697",3026,0,98,6,475,16,9,1819,190,61,350,2,1121
"16","E02001698",2318,0,16,5,300,8,9,1702,138,24,112,4,1380
"17","E02001699",2585,0,174,14,489,13,17,1462,202,24,188,2,980
"18","E02001700",4007,0,48,8,700,17,19,2576,279,57,285,18,1329
"19","E02001701",2420,0,51,7,370,9,8,1570,163,35,206,1,1136
"20","E02001702",2371,0,76,8,676,13,9,1114,178,28,266,3,881
"21","E02001703",1735,0,5,3,265,3,7,1200,123,27,101,1,1624
"22","E02001704",2402,0,50,3,547,15,6,1279,234,31,226,11,1001
"23","E02001705",1953,0,14,1,345,10,12,1261,142,22,143,3,2010
"24","E02001706",2036,0,22,2,376,13,7,1262,158,30,163,3,1143
"25","E02001707",2621,0,28,7,410,5,9,1637,203,31,284,7,1268
"26","E02001708",3588,0,400,25,415,16,13,2143,206,85,281,4,1445
"27","E02001709",3435,0,285,22,370,11,7,2192,172,121,246,9,1277
"28","E02001710",3165,0,428,43,514,20,21,1370,197,87,483,2,1183
"29","E02001711",2965,0,144,15,722,17,11,1533,215,49,253,6,1186
"30","E02001712",3645,0,838,33,202,17,7,1631,133,233,544,7,1161
"31","E02001713",3802,0,235,15,548,9,14,2129,179,226,442,5,1401
"32","E02001714",3927,0,255,16,458,19,7,2129,231,192,614,6,1111
"33","E02001715",3650,0,109,13,863,34,8,1841,300,107,367,8,1229
"34","E02001718",1784,0,23,4,495,7,5,871,169,26,180,4,963
"35","E02001719",3523,0,74,8,794,21,15,1731,214,175,488,3,1058
"36","E02001720",2690,0,681,30,119,17,5,930,62,159,685,2,1071
"37","E02001721",3370,0,48,5,718,30,7,1981,241,46,287,7,1635
"38","E02001722",3142,0,39,3,922,22,12,1627,221,42,247,7,1270
"39","E02001723",2088,0,35,5,621,15,3,968,157,50,229,5,1013
"40","E02001724",2879,0,305,18,281,20,10,876,75,157,1131,6,1012
"41","E02001725",4135,0,328,18,1321,36,20,1238,161,239,767,7,1063
"42","E02001726",3635,0,47,6,1075,39,20,1746,274,62,355,11,1323
"43","E02001727",3061,0,184,20,663,31,15,1541,242,81,279,5,843
"44","E02001728",3465,0,41,8,834,27,15,1991,281,61,204,3,1305
"45","E02001729",3026,0,130,31,947,34,5,935,116,117,703,8,1084
"46","E02001730",3785,0,241,34,651,40,4,1036,102,177,1491,9,1092
"47","E02001731",2982,0,250,37,553,26,7,639,75,50,1328,17,1027
"48","E02001732",1488,0,23,3,447,9,4,716,126,27,131,2,988
"49","E02001733",3700,0,199,23,1102,43,8,1366,205,113,625,16,935
"50","E02001734",2304,0,56,7,782,18,7,986,167,37,239,5,1048
"51","E02001735",1777,0,46,8,608,22,11,617,126,40,294,5,598
"52","E02001736",3095,0,106,33,1080,33,5,1007,209,47,564,11,1063
"53","E02001737",1598,0,43,8,656,24,2,523,111,37,191,3,606
"54","E02001738",1639,0,215,10,38,5,4,1141,99,24,96,7,1305
"55","E02001739",2348,0,41,8,432,14,15,1420,191,56,167,4,1228
"56","E02001740",1968,0,316,16,55,3,11,1293,91,38,142,3,1403
"57","E02001741",2159,0,29,2,405,5,20,1402,134,47,111,4,1265
"58","E02001742",2195,0,450,29,51,8,7,1344,105,54,145,2,1274
"59","E02001743",2755,0,670,45,164,7,8,1334,132,67,320,8,1368
"60","E02001744",2313,0,398,44,107,11,16,1428,139,39,123,8,1064
"61","E02001745",2475,0,58,8,404,17,12,1443,208,60,263,2,1106
"62","E02001746",2920,0,509,34,152,20,15,1599,165,63,360,3,1337
"63","E02001747",2060,0,349,33,68,6,12,1250,114,60,164,4,1164
"64","E02001748",2859,0,510,51,154,24,16,1660,177,52,210,5,1131
"65","E02001749",2375,0,113,5,342,13,10,1450,184,62,193,3,1076
"66","E02001750",2324,0,144,18,130,14,11,1581,161,70,176,19,1167
"67","E02001751",2135,0,152,20,307,11,15,1160,156,71,239,4,968
"68","E02001752",2146,0,56,10,335,42,10,1127,180,88,291,7,986
"69","E02001753",2237,0,426,36,96,14,7,1319,99,60,170,10,1247
"70","E02001754",2347,0,294,21,112,11,12,1449,143,73,224,8,1188
"71","E02001755",3109,0,512,20,187,10,14,1832,175,103,255,1,1177
"72","E02001756",3503,0,505,48,383,41,10,1599,218,90,603,6,1095
