from_id,cum_15
E00041363,87
E00041364,96
E00041366,81
E00041367,85
E00041368,86
E00041369,67
E00041370,53
E00041371,84
E00041372,68
E00041374,58
E00041375,13
E00041376,26
E00041377,68
E00041378,91
E00041380,88
E00041381,6
E00041382,74
E00041383,85
E00041384,86
E00041385,4
E00041386,70
E00041388,84
E00041389,82
E00041390,56
E00041393,104
E00041394,93
E00041395,95
E00041397,110
E00041399,115
E00041400,30
E00041401,118
E00041402,121
E00041404,110
E00041405,1
E00041406,120
E00041407,111
E00041408,56
E00041409,101
E00041410,56
E00041411,36
E00041413,89
E00041414,94
E00041415,1
E00041416,73
E00041417,14
E00041418,14
E00041419,12
E00041420,12
E00041421,11
E00041422,46
E00041423,13
E00041424,33
E00041425,8
E00041426,6
E00041427,6
E00041429,54
E00041430,52
E00041431,51
E00041432,23
E00041433,52
E00041434,52
E00041435,52
E00041436,43
E00041437,23
E00041438,18
E00041439,61
E00041440,21
E00041441,16
E00041442,38
E00041443,29
E00041444,29
E00041446,56
E00041447,58
E00041448,9
E00041449,64
E00041450,56
E00041451,55
E00041452,7
E00041454,62
E00041455,14
E00041456,35
E00041457,58
E00041458,26
E00041459,31
E00041460,30
E00041461,67
E00041462,53
E00041463,55
E00041464,68
E00041465,44
E00041466,26
E00041467,38
E00041468,12
E00041469,46
E00041470,49
E00041471,13
E00041473,24
E00041474,35
E00041475,35
E00041476,5
E00041477,21
E00041478,10
E00041479,35
E00041480,31
E00041481,4
E00041482,6
E00041483,10
E00041484,30
E00041485,11
E00041486,11
E00041487,10
E00041488,11
E00041489,8
E00041491,19
E00041492,1
E00041493,18
E00041494,16
E00041495,1
E00041499,19
E00041501,38
E00041502,38
E00041503,38
E00041504,7
E00041505,33
E00041506,73
E00041507,85
E00041508,34
E00041509,30
E00041510,36
E00041511,33
E00041512,40
E00041513,47
E00041514,40
E00041515,8
E00041516,28
E00041517,31
E00041518,39
E00041519,26
E00041520,24
E00041521,42
E00041522,28
E00041523,42
E00041524,23
E00041525,32
E00041526,28
E00041527,17
E00041528,45
E00041529,1
E00041530,23
E00041532,39
E00041533,32
E00041534,50
E00041535,36
E00041536,23
E00041538,30
E00041539,30
E00041540,11
E00041541,22
E00041542,27
E00041543,15
E00041544,17
E00041545,20
E00041546,30
E00041547,4
E00041548,10
E00041549,10
E00041550,20
E00041551,19
E00041552,28
E00041553,28
E00041554,28
E00041555,14
E00041556,20
E00041557,18
E00041558,18
E00041559,6
E00041560,21
E00041561,15
E00041562,2
E00041563,9
E00041564,26
E00041565,25
E00041566,25
E00041567,27
E00041570,30
E00041571,74
E00041572,83
E00041573,78
E00041574,60
E00041575,57
E00041576,51
E00041577,52
E00041578,63
E00041579,57
E00041580,67
E00041581,36
E00041582,51
E00041583,49
E00041584,54
E00041585,52
E00041586,65
E00041587,84
E00041588,41
E00041589,92
E00041590,69
E00041591,53
E00041592,67
E00041593,65
E00041594,62
E00041595,64
E00041596,73
E00041597,6
E00041598,67
E00041599,56
E00041600,55
E00041601,51
E00041602,68
E00041604,55
E00041605,45
E00041606,45
E00041607,20
E00041608,60
E00041610,53
E00041611,54
E00041614,75
E00041615,60
E00041617,66
E00041619,53
E00041620,61
E00041621,47
E00041622,36
E00041623,58
E00041624,52
E00041625,21
E00041626,36
E00041627,73
E00041629,56
E00041630,55
E00041631,53
E00041632,55
E00041633,52
E00041634,84
E00041635,57
E00041636,72
E00041637,110
E00041638,49
E00041639,95
E00041640,79
E00041641,67
E00041642,66
E00041643,81
E00041644,70
E00041645,49
E00041646,87
E00041647,75
E00041648,81
E00041649,67
E00041650,84
E00041651,98
E00041652,64
E00041653,93
E00041654,104
E00041655,89
E00041656,87
E00041657,93
E00041658,63
E00041659,73
E00041660,69
E00041661,49
E00041662,69
E00041663,71
E00041665,55
E00041666,82
E00041667,66
E00041668,55
E00041670,36
E00041671,59
E00041672,80
E00041675,70
E00041676,77
E00041677,82
E00041678,6
E00041679,103
E00041680,73
E00041681,64
E00041682,65
E00041683,53
E00041684,56
E00041685,77
E00041686,41
E00041687,58
E00041688,57
E00041689,85
E00041690,81
E00041691,24
E00041693,93
E00041694,47
E00041695,29
E00041696,54
E00041697,70
E00041698,52
E00041699,39
E00041700,48
E00041701,99
E00041702,50
E00041703,41
E00041704,29
E00041705,14
E00041706,25
E00041707,25
E00041709,32
E00041710,14
E00041711,73
E00041712,14
E00041713,14
E00041714,41
E00041715,62
E00041716,47
E00041717,82
E00041718,81
E00041719,66
E00041720,39
E00041721,51
E00041722,42
E00041723,38
E00041724,14
E00041725,60
E00041726,84
E00041727,50
E00041728,24
E00041729,63
E00041730,42
E00041731,79
E00041732,35
E00041733,74
E00041734,61
E00041735,47
E00041736,78
E00041737,34
E00041738,62
E00041739,60
E00041740,30
E00041741,58
E00041742,54
E00041743,29
E00041744,37
E00041745,60
E00041746,82
E00041747,66
E00041748,77
E00041749,75
E00041750,44
E00041751,46
E00041752,43
E00041753,55
E00041754,44
E00041755,47
E00041756,92
E00041757,79
E00041758,49
E00041759,52
E00041760,45
E00041761,46
E00041762,42
E00041763,41
E00041764,91
E00041765,34
E00041766,20
E00041767,16
E00041768,92
E00041769,32
E00041770,72
E00041771,50
E00041772,42
E00041773,53
E00041774,39
E00041775,48
E00041776,54
E00041777,51
E00041778,41
E00041779,51
E00041780,53
E00041781,55
E00041783,49
E00041784,32
E00041785,47
E00041786,72
E00041787,77
E00041788,93
E00041789,69
E00041790,83
E00041791,62
E00041792,51
E00041793,66
E00041794,48
E00041795,59
E00041796,51
E00041797,52
E00041798,21
E00041799,72
E00041800,65
E00041801,56
E00041802,54
E00041803,67
E00041804,46
E00041805,60
E00041806,67
E00041807,65
E00041809,9
E00041810,41
E00041811,68
E00041812,91
E00041813,1
E00041815,29
E00041817,8
E00041818,45
E00041819,45
E00041820,21
E00041822,13
E00041825,38
E00041826,6
E00041827,46
E00041829,39
E00041830,44
E00041831,37
E00041832,9
E00041833,44
E00041834,35
E00041835,40
E00041836,23
E00041837,35
E00041838,10
E00041839,38
E00041840,14
E00041841,27
E00041842,39
E00041843,27
E00041844,25
E00041845,26
E00041846,82
E00041847,75
E00041848,85
E00041849,99
E00041850,62
E00041851,108
E00041852,108
E00041853,106
E00041854,105
E00041855,83
E00041856,81
E00041857,105
E00041858,85
E00041859,46
E00041860,58
E00041861,81
E00041862,94
E00041863,82
E00041864,1
E00041865,35
E00041866,103
E00041867,96
E00041868,104
E00041869,86
E00041870,101
E00041871,99
E00041872,91
E00041873,88
E00041874,89
E00041875,98
E00041876,83
E00041877,27
E00041878,45
E00041879,30
E00041880,69
E00041881,96
E00041882,59
E00041883,36
E00041884,55
E00041885,79
E00041886,4
E00041887,24
E00041888,95
E00041889,37
E00041890,27
E00041891,33
E00041892,33
E00041893,41
E00041894,33
E00041895,33
E00041896,27
E00041897,29
E00041898,28
E00041899,59
E00041902,97
E00041903,86
E00041904,69
E00041905,73
E00041906,73
E00041907,71
E00041908,85
E00041909,72
E00041910,52
E00041911,35
E00041912,38
E00041913,27
E00041914,58
E00041915,46
E00041916,49
E00041917,46
E00041918,44
E00041919,40
E00041920,50
E00041921,50
E00041922,40
E00041923,48
E00041924,38
E00041925,45
E00041926,42
E00041927,51
E00041928,29
E00041929,45
E00041930,26
E00041931,9
E00041932,41
E00041933,7
E00041934,30
E00041935,49
E00041936,3
E00041937,27
E00041938,19
E00041940,51
E00041941,4
E00041942,55
E00041943,41
E00041944,49
E00041945,51
E00041946,10
E00041947,10
E00041948,7
E00041949,10
E00041950,18
E00041951,11
E00041952,14
E00041953,8
E00041954,2
E00041955,9
E00041956,16
E00041957,7
E00041958,8
E00041959,12
E00041960,28
E00041961,3
E00041962,6
E00041963,11
E00041964,11
E00041965,10
E00041966,11
E00041967,11
E00041968,11
E00041969,11
E00041970,11
E00041971,22
E00041972,20
E00041973,24
E00041974,11
E00041975,16
E00041976,3
E00041977,24
E00041978,8
E00041979,8
E00041981,1
E00041982,23
E00041983,47
E00041984,34
E00041985,40
E00041986,52
E00041987,43
E00041988,44
E00041989,21
E00041990,22
E00041991,25
E00041992,33
E00041993,37
E00041994,25
E00041995,34
E00041996,27
E00041997,18
E00041998,24
E00041999,24
E00042000,15
E00042001,19
E00042002,57
E00042003,62
E00042004,39
E00042005,24
E00042006,56
E00042008,31
E00042009,23
E00042010,74
E00042011,39
E00042012,6
E00042013,39
E00042014,40
E00042015,33
E00042016,34
E00042017,25
E00042018,30
E00042019,23
E00042020,67
E00042021,18
E00042022,54
E00042023,11
E00042024,38
E00042025,31
E00042026,35
E00042027,45
E00042028,45
E00042029,28
E00042030,50
E00042031,57
E00042032,50
E00042033,25
E00042035,42
E00042036,41
E00042037,50
E00042038,46
E00042039,56
E00042040,39
E00042041,38
E00042042,69
E00042043,34
E00042044,35
E00042045,42
E00042046,109
E00042047,93
E00042048,15
E00042049,34
E00042050,28
E00042051,42
E00042052,61
E00042053,85
E00042054,35
E00042055,16
E00042056,87
E00042057,90
E00042058,88
E00042059,101
E00042061,106
E00042062,112
E00042064,101
E00042065,95
E00042066,109
E00042067,35
E00042068,40
E00042069,36
E00042070,22
E00042071,26
E00042072,38
E00042073,43
E00042074,27
E00042075,54
E00042076,51
E00042077,24
E00042078,15
E00042079,16
E00042080,26
E00042081,53
E00042082,41
E00042083,22
E00042084,39
E00042085,44
E00042086,44
E00042087,46
E00042088,40
E00042089,43
E00042090,48
E00042091,29
E00042092,32
E00042093,55
E00042094,31
E00042095,23
E00042096,35
E00042097,19
E00042099,22
E00042100,47
E00042101,47
E00042102,35
E00042103,48
E00042104,59
E00042106,42
E00042107,91
E00042108,99
E00042109,81
E00042110,90
E00042111,96
E00042112,78
E00042113,92
E00042114,78
E00042115,55
E00042116,62
E00042117,94
E00042118,89
E00042120,32
E00042121,85
E00042122,78
E00042123,31
E00042124,41
E00042125,113
E00042126,118
E00042127,114
E00042128,114
E00042129,108
E00042130,74
E00042131,83
E00042132,101
E00042133,90
E00042134,78
E00042135,88
E00042136,101
E00042137,72
E00042138,80
E00042139,80
E00042140,53
E00042141,44
E00042142,63
E00042143,41
E00042144,41
E00042145,45
E00042146,52
E00042147,38
E00042148,45
E00042149,45
E00042150,43
E00042151,51
E00042152,2
E00042153,16
E00042154,17
E00042155,29
E00042156,21
E00042157,6
E00042158,7
E00042159,7
E00042160,52
E00042161,7
E00042162,6
E00042164,15
E00042165,7
E00042166,11
E00042168,10
E00042169,17
E00042170,23
E00042171,9
E00042172,60
E00042173,25
E00042174,21
E00042175,26
E00042176,23
E00042177,71
E00042178,23
E00042179,40
E00042180,24
E00042182,67
E00042183,19
E00042184,55
E00042185,69
E00042186,33
E00042187,80
E00042188,75
E00042189,36
E00042190,18
E00042191,79
E00042192,77
E00042193,55
E00042194,58
E00042195,39
E00042196,69
E00042197,99
E00042198,41
E00042199,12
E00042200,16
E00042201,34
E00042202,38
E00042203,93
E00042205,36
E00042206,41
E00042207,34
E00042208,33
E00042209,47
E00042210,42
E00042211,49
E00042212,33
E00042213,24
E00042214,52
E00042215,52
E00042216,53
E00042217,44
E00042218,52
E00042219,87
E00042220,23
E00042221,46
E00042222,50
E00042223,44
E00042224,28
E00042225,38
E00042226,56
E00042227,56
E00042228,19
E00042229,51
E00042230,57
E00042232,37
E00042233,27
E00042234,20
E00042235,19
E00042236,32
E00042237,36
E00042238,57
E00042240,28
E00042241,37
E00042242,29
E00042243,23
E00042244,24
E00042245,43
E00042246,40
E00042247,38
E00042248,27
E00042249,37
E00042250,41
E00042251,26
E00042252,43
E00042253,32
E00042254,19
E00042255,52
E00042256,49
E00042257,20
E00042258,38
E00042259,36
E00042260,55
E00042261,40
E00042262,82
E00042263,61
E00042264,55
E00042265,90
E00042266,52
E00042267,74
E00042268,37
E00042269,88
E00042270,67
E00042271,73
E00042272,118
E00042273,81
E00042274,96
E00042275,85
E00042276,143
E00042277,134
E00042278,56
E00042279,96
E00042280,90
E00042281,99
E00042282,34
E00042283,98
E00042284,121
E00042285,131
E00042286,100
E00042287,20
E00042288,31
E00042289,34
E00042290,25
E00042291,43
E00042292,23
E00042293,56
E00042294,45
E00042295,52
E00042296,39
E00042297,42
E00042298,60
E00042299,42
E00042300,42
E00042301,38
E00042302,45
E00042303,38
E00042304,34
E00042305,50
E00042306,42
E00042307,56
E00042308,43
E00042309,104
E00042310,13
E00042311,25
E00042312,37
E00042313,45
E00042314,39
E00042315,30
E00042316,44
E00042317,37
E00042318,41
E00042319,45
E00042320,40
E00042321,43
E00042322,45
E00042323,45
E00042324,51
E00042325,42
E00042326,34
E00042327,51
E00042328,41
E00042329,2
E00042330,53
E00042331,50
E00042332,59
E00042333,59
E00042334,53
E00042335,56
E00042336,53
E00042337,60
E00042338,48
E00042339,40
