,from_id,area_m2
0,E00041363,526165.8909500078
1,E00041364,527070.6598000153
2,E00041366,265337.3604500067
3,E00041367,505729.3320000086
4,E00041368,325226.25194999395
5,E00041369,549482.1091500067
6,E00041370,174594.8188499954
7,E00041371,566735.6861000005
8,E00041372,320498.6623999919
9,E00041374,245543.50860001027
10,E00041375,254487.562749997
11,E00041376,196185.83894999902
12,E00041377,226583.12945000528
13,E00041378,244991.16579999428
14,E00041380,260388.54725001563
15,E00041381,394090.44660000724
16,E00041382,102497.59494998539
17,E00041383,267333.93265000347
18,E00041384,283240.01890000503
19,E00041385,20490.6743500011
20,E00041386,476060.2960000109
21,E00041388,293620.89909999515
22,E00041389,495079.16735000815
23,E00041390,501420.8489500142
24,E00041393,678746.1067000296
25,E00041394,152606.13650000838
26,E00041395,532277.4410000191
27,E00041397,166487.45650001446
28,E00041399,559188.3177000118
29,E00041400,36535.079400003546
30,E00041401,443258.5237000188
31,E00041402,571765.5365500163
32,E00041404,322610.641450003
33,E00041405,440588.8228000198
34,E00041406,658406.8739000299
35,E00041407,557624.4297000313
36,E00041408,658406.8739000299
37,E00041409,610191.9603500296
38,E00041410,95955.77245000149
39,E00041411,129328.1147500056
40,E00041413,166792.86250001594
41,E00041414,427867.3081000262
42,E00041415,480756.7081000205
43,E00041416,748607.1227499845
44,E00041417,63293.02055001236
45,E00041418,63293.02055001236
46,E00041419,20005.523350001546
47,E00041420,50331.910300012256
48,E00041421,3055.68620000042
49,E00041422,134702.00134999966
50,E00041423,50095.43785001137
51,E00041424,2894.110200000019
52,E00041425,2894.110200000019
53,E00041426,44141.63505001086
54,E00041427,44141.63505001086
55,E00041429,125954.0545499831
56,E00041430,125749.28034998364
57,E00041431,773310.9250000011
58,E00041432,509460.1130500042
59,E00041433,133519.2420999997
60,E00041434,125749.28034998364
61,E00041435,139746.2998999984
62,E00041436,90603.56449998786
63,E00041437,57213.2467999838
64,E00041438,28375.98279999721
65,E00041439,47147.879649988
66,E00041440,46717.301449987805
67,E00041441,21477.840950001464
68,E00041442,52885.218950002156
69,E00041443,1425732.3411999734
70,E00041444,105744.8355500172
71,E00041445,1758072.5766499878
72,E00041446,1250093.455450012
73,E00041447,275222.02434999985
74,E00041448,1061320.334399994
75,E00041449,156204.6449500053
76,E00041450,1065060.0203499827
77,E00041451,227540.03085001034
78,E00041452,100157.11330001694
79,E00041453,244075.72074999262
80,E00041454,235572.90200000716
81,E00041455,1014135.7721999849
82,E00041456,208150.75175001606
83,E00041457,227059.04250000938
84,E00041458,190118.42139998748
85,E00041459,1873291.142599978
86,E00041460,2740109.0599999763
87,E00041461,278208.4476500059
88,E00041462,1022762.2720499873
89,E00041463,245413.43784999472
90,E00041464,311576.73775000963
91,E00041465,183929.0297499908
92,E00041466,154437.84089998849
93,E00041467,265190.4866000026
94,E00041468,1744874.5153999876
95,E00041469,230749.804849989
96,E00041470,1744874.5153999876
97,E00041471,1747115.6374499844
98,E00041472,275222.02434999985
99,E00041473,64397.464649994305
100,E00041474,96937.98284998504
101,E00041475,86875.33689998586
102,E00041476,27597.60329999901
103,E00041477,40044.72094999124
104,E00041478,22707.814799991935
105,E00041479,86875.33689998586
106,E00041481,15132.381549999125
107,E00041482,15328.865099999044
108,E00041483,1287273.1486500055
109,E00041484,93543.85654999154
110,E00041485,1284028.2890500096
111,E00041487,1283387.7947500097
112,E00041488,1247852.333400015
113,E00041489,1284028.2890500096
114,E00041490,40044.72094999124
115,E00041491,38901.79459999179
116,E00041492,67642.32424999026
